,Unnamed: 0,abstract,journal,publisher,authors,title,date,journal_vol,journal_issue,firstpage,doi,abstract_html,fulltext_html,pdf_url,language,keywords,citation_count,editor_name,editor_surname
10,10,"Drawing on evolutionary social psychology, Pettijohn and Tesser's (1999) Environmental Security Hypothesis (ESH) proposes that during threatening times, people seek mates with more mature features. Pettijohn and Jungeberg (2004) found that Playboy Playmates of the Year (PMOYs), who are determined partly by popularity, exhibited more mature features (older, taller, heavier, larger waist-to-hip ratios [WHRs], lower body mass indexes [BMIs]) during times of hardship. Their composite measure of hard times, however, was heterogeneous; it was unclear weather the effects were driven by economic (unemployment) or existential (suicides, homicides) hardships. The present study critically examined the ESH by replicating and extending Pettijohn and Jungeberg while distinguishing between economic and existential threats. Forty-eight years (1960-2007) of PMOY measures (age, bust, waist, hips, height, weight, WHR, and BMI), two economic measures (Dow Jones industrial average [DJIA], consumer sentiment index [CSI]), and two existential threat measures (pre-versus-post-9/11 years, Doomsday Clock changes) were analyzed. Changes in economic indexes were either unassociated (CSI) or contrary (DJIA) to the ESH, such that taller, heavier women were preferred during prosperous markets. Supporting the ESH, increases in existential threats such as nuclear annihilation (Doomsday Clock) were related to older women and lower BMIs. The efficacy of the ESH is discussed. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Webster, Gregory D.","<em>Playboy</em> playmates, the Dow Jones, consumer Sentiment, 9/11, and the doomsday clock: A critical examination of the environmental security hypothesis.",May   2008,2,2,23,10.1037/h0099357,http://psycnet.apa.org/journals/ebs/2/2/23,http://psycnet.apa.org/journals/ebs/2/2/23.html,http://psycnet.apa.org/journals/ebs/2/2/23.pdf,English,playboy playmates; Dow Jones; consumer sentiment; 9/11 attack; environmental security; social psychology; evolutionary psychology; cultural psychology; crisis management,0,not_found,not_found
11,11,"Rational choice theory of marriage market predicts that mate selectivity responds to operational sex ratios whereby the sex in shorter supply and thus greater demand becomes more selective. In contrast, an evolutionary psychological perspective on mate selectivity predicts that women on average will be more selective than men under most circumstances, and the sex difference will not respond to operational sex ratios. We analyze mate preferences expressed by men and women (n = 2,956) who subscribe to a computer dating service in Tel Aviv, Israel, which has an extremely low sex ratio (646 available single men for 1,000 women). The findings support the evolutionary psychological prediction and show that women remain more selective than men even under conditions of extreme ""marriage squeeze"" for women. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Bokek-Cohen, Yaarit; Peres, Yochanan; Kanazawa, Satoshi",Rational choice and evolutionary psychology as explanations for mate selectivity.,May   2008,2,2,42,10.1037/h0099356,http://psycnet.apa.org/journals/ebs/2/2/42,http://psycnet.apa.org/journals/ebs/2/2/42.html,http://psycnet.apa.org/journals/ebs/2/2/42.pdf,English,rational choice; evolutionary psychology; mate selectivity; dating service,1,not_found,not_found
12,12,"Expatriate adjustment within a social context that included both host nationals and other expatriates was examined in terms of social resources, support for coping responses, and adjustment outcomes in a sample of expatriates residing in Russia (N = 110). Instruments utilized included Ong and Ward's (2005) recently introduced Index of Sojourner Social Support (ISSS) Scale and Black and Stephens' (1989) widely used scale for general adjustment. Results indicate that the general adjustment of expatriates is significantly related to satisfaction with social contact with local nationals (r = .21, p  .05), socioemotional coping support (r = .24, p  .05), and instrumental coping support (r = .21, p  .05). A surprise finding of this research was the statistically significant correlation between reported frequency of social contact with other expatriates and perceived discrimination from other expatriates (r = -.21, p  .05). Overall, this study supports previous research findings that emphasize quality of social contacts over frequency of social contacts as a dimension of cross-cultural adjustment. However, since results also indicate the presence of expatriate in-group discrimination, they may bring new questions for research findings regarding the buffering role of the expatriate community on adjustment. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"McGinley, James",Expatriate adjustment within a social context: Examination of a sample in Russia.,May   2008,2,2,56,10.1037/h0099355,http://psycnet.apa.org/journals/ebs/2/2/56,http://psycnet.apa.org/journals/ebs/2/2/56.html,http://psycnet.apa.org/journals/ebs/2/2/56.pdf,English,expatriate adjustment; social context; social resources; coping responses; cross cultural adjustment; Russia,0,not_found,not_found
13,13,"Reviews the book, The Evolutionary Bases of Consumption by Gad Saad. (see record 2007-05810-000). This book provides yet another example of the importance and utility of evolutionary psychology (EP) in an area currently void of any evolutionary theory. Throughout the book, Saad presents research on consumer behavior and views it through an evolutionary lens, illustrating parallels between different consumer behaviors, marketing strategies, and our evolved human nature. At the same time, he challenges the social constructionist view that all human behavior is learned through socialization and suggests that our behavior may be, at least in part, affected by our evolved human nature. Throughout the book, Saad illustrates the vast field of knowledge currently untapped by consumer researcher and provides the means by which EP can be used to understand consumer behavior. One criticism of this book is that Saad has tackled two very large problems, mainly the benefit of applying EP principles to current consumer behavior research, as well as the role of our evolutionary lineage in shaping our current behaviors, in a scant 276 pages. Although both of these topics are undoubtedly related to one another, a lot of information and novel ideas have been densely packed together. (PsycINFO Database Record (c) 2014 APA, all rights reserved)",PULL_ERROR,NorthEastern Evolutionary Psychology Society,"Camargo, Michael; Donahue, Kelly L.",Looking through the evolutionary lens: Consumer behavior and evolutionary psychology.,May   2008,2,2,69,10.1037/h0099354,http://psycnet.apa.org/journals/ebs/2/2/69,http://psycnet.apa.org/journals/ebs/2/2/69.html,http://psycnet.apa.org/journals/ebs/2/2/69.pdf,English,consumer behavior; evolutionary behavior; evolutionary psychology; human nature,0,not_found,not_found
14,14,"Four-year olds participated in versions of adult bargaining games (the ultimatum and dictator games) that were designed to test for understanding of fairness, reciprocity, and altruism and were adapted to be appropriate for their age group. They were also given endowment and theory of mind tasks. The results showed that young children were similar to adults in their preferences for fairness although they tended to make more altruistic offers. They also demonstrated some ability to think strategically about offers as well as some understanding of the importance of reciprocity in bargaining. But their ability to perform a cost-benefit analysis was limited as was their ability to act contingently. A third of the sample showed an endowment effect but whether a child showed this effect did not influence performance in the games. Those who passed theory of mind tasks were more likely to retain their endowment than those who did not. The results are discussed in relation to previous work and support the thesis that individuals may have an early and possibly innate propensity for fairness and altruism. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Lucas, Margery M.; Wagner, Laura; Chow, Candice",Fair game: The intuitive economics of resource exchange in four-year olds.,Sep   2008,2,3,74,10.1037/h0099353,http://psycnet.apa.org/journals/ebs/2/3/74,http://psycnet.apa.org/journals/ebs/2/3/74.html,http://psycnet.apa.org/journals/ebs/2/3/74.pdf,English,adult bargaining games; altruism; theory of mind; childhood development,3,not_found,not_found
15,15,"In the majority of human societies parents control the mating decisions of their female offspring and choose spouses for them according to their own preferences. This parental choice determines the course of sexual selection, as men who lack desirable characteristics are excluded from reproduction. Parents prefer as sons-in-law men with traits such as industry and good working ability that enable them to be good in providing resources. However, many of these traits are unobserved, while future sons-in-law have the incentive to lie about their abilities. Consequently, parents have to solve the problem of selecting the most capable son-in-law between men who have the incentive to lie. One way to do so is for parents to impose a substantial cost to any prospective son-in-law. By doing so, parents can reliably test the abilities of potential sons-in-law. It is proposed that this cost takes the form of the two most common marriage institutions, namely bridewealth and brideservice, whose primary function is to enable parents to exercise their choice effectively. The determinants of these two institutions are further explored and evidence from the anthropological literature is provided. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Apostolou, Menelaos",Bridewealth and brideservice as instruments of parental choice.,Sep   2008,2,3,89,10.1037/h0099352,http://psycnet.apa.org/journals/ebs/2/3/89,http://psycnet.apa.org/journals/ebs/2/3/89.html,http://psycnet.apa.org/journals/ebs/2/3/89.pdf,English,bridewealth; brideservice; parental choice; female offspring; sexual selection,2,not_found,not_found
16,16,"Behavioral research has become increasingly concerned with the adaptive significance of facial expressions, which can be regarded as evolved social signals. In an attempt to uncover the function of smiling behavior, the assessment of various evolutionarily relevant traits was examined through people's judgments of neutral and smiling photographs. Pictures were rated for ten attributes: attractiveness, generosity, trustworthiness, competitiveness, health, agreeableness, conscientiousness, extroversion, neuroticism, and openness to experience. Although smiling faces received higher scores on several dimensions, the difference in judgments between neutral and smiling varied with the sex composition of the sender-receiver dyad. Overall, smiling influenced men's judgments in a larger extent than women's, especially when faces were female. Our data show that smiling positively affects the perception of personality traits in a way that could be adaptive to the sender of the signal. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Mehu, Marc; Little, Anthony C.; Dunbar, Robin I. M.",Sex differences in the effect of smiling on social judgments: An evolutionary approach.,Sep   2008,2,3,103,10.1037/h0099351,http://psycnet.apa.org/journals/ebs/2/3/103,http://psycnet.apa.org/journals/ebs/2/3/103.html,http://psycnet.apa.org/journals/ebs/2/3/103.pdf,English,sex differences; smiling; social judgments; facial expressions,3,not_found,not_found
17,17,"The present study tested Cosmides' (1989) notion of the cheater-detection algorithm by employing modified versions of the Iowa Gambling Task (IGT; Bechara, Damasio, Damasio,  Anderson, 1994), which measures participants' behavioral responses to risk by asking them to repeatedly choose one of four options, which vary in their long-term profitability. In the natural risk condition, participants were told that the task involved natural risk (i.e., risk governed by a stochastic process). In the social risk condition, participants were told that the task involved the risk of being cheated. In both conditions, the game's payoff structure was constant. Participants played 100 trials of IGT. After experiencing a large loss from one option, participants in the social risk condition, who believed that they were seriously cheated, waited longer to choose that option again than did those in the natural risk condition. This result is consistent with Cosmides' hypothesis that social risk is dealt with by an independent algorithm. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Nakanishi, Daisuke; Ohtsubo, Yohsuke",Do people react differently to natural and social risk?,Sep   2008,2,3,122,10.1037/h0099350,http://psycnet.apa.org/journals/ebs/2/3/122,http://psycnet.apa.org/journals/ebs/2/3/122.html,http://psycnet.apa.org/journals/ebs/2/3/122.pdf,English,social risk; algorithm; long term profitability,1,not_found,not_found
18,18,"Two studies explored whether or not personal experiences of romantic jealousy relate to individual differences in personality by means of the Big Five model of personality. Study 1 examined how scores on the Interpersonal Jealousy Scale relate to the Big 5 dimensions of personality. Seventy-one participants were administered the Interpersonal Adjective Scale Revised: Big Five version (IASR-B5; Trapnell  Wiggins, 1990), the Interpersonal Jealousy Scale (US; Mathes  Severa, 1981), and a shortened version of the Marlowe-Crowne Social Desirability Scale (Strahan  Gerbasi, 1972). Study 2 examined how reactions to emotional and sexual infidelity relate to the Big-5 dimensions of personality. Seventy-seven participants were administered the IASR-B5 and Marlowe-Crowne Social Desirability Scale, as well as infidelity scenarios that described either an emotional or sexual infidelity situation (Wiederman  Kendall, 1999). Exploratory hypotheses suggesting that Neuroticism, Extraversion and Openness to experience might be predictors of: jealousy (Study 1), and reactions to a partner's commission of sexual and emotional infidelity (Study 2) were not confirmed. The Big-5 dimensions of personality were not related to jealousy scores or reactions to infidelity. The implications of these findings are discussed. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Wade, T. Joel; Walsh, Hannah","Does the Big-5 relate to jealousy, or infidelity reactions?",Sep   2008,2,3,133,10.1037/h0099349,http://psycnet.apa.org/journals/ebs/2/3/133,http://psycnet.apa.org/journals/ebs/2/3/133.html,http://psycnet.apa.org/journals/ebs/2/3/133.pdf,English,romantic jealousy; personal experiences; personality,1,not_found,not_found
19,19,"Existing research on intrasexual competition focuses on the tactics of self-promotion and competitor derogation. In this paper we expand upon these two tactics by developing a framework in which the performers of a competitive action, and their roles, are identified. Using the framework, it is possible to identify nine variations of promotion, and similarly, nine variations of derogation, as potential competitive acts. While only a simplified framework is presented, and one that only considers a single competitor, the framework combines the previous views of promotion and derogation and elaborates upon these views. The framework provides a means by which phenomena such as social comparison and assortative mating can be described, and thus shows merit as a tool that researchers can use to elucidate and integrate the elements of intrasexual competition. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Cox, Anthony; Fisher, Maryanne",A framework for exploring intrasexual competition.,Dec   2008,2,4,144,10.1037/h0099348,http://psycnet.apa.org/journals/ebs/2/4/144,http://psycnet.apa.org/journals/ebs/2/4/144.html,http://psycnet.apa.org/journals/ebs/2/4/144.pdf,English,intrasexual competition; social comparison; assortative mating; competitor derogation,2,not_found,not_found
20,20,"Self-perceived mate value is an important concept for evolutionary psychology, and yet there has been little investigation into how it should be measured. Past research has relied upon simple measures, such as self-perceived physical attractiveness, or on instruments where people rate the existence of certain traits. Using a sample of 150 individuals, we show that there are at least seven distinct components of self-perceived mate value. We compare these components with self-ratings of physical attractiveness, current income, as well as one existing measure, the Mate Value Inventory (Kirsner et al., 2003). Only some of these components correlate with these variables, and to varying extents for women and men, suggesting the need for a more comprehensive and sex-specific measure of self-perceived mate value. We discuss the context-dependent nature of mate value, and point to the need for future research to provide confirmatory support for our factors. This research represents an important first step into the accurate assessment of mate value. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Fisher, Maryanne; Cox, Anthony; Bennett, Sasha; Gavric, Dubravka",Components of self-perceived mate value.,Dec   2008,2,4,156,10.1037/h0099347,http://psycnet.apa.org/journals/ebs/2/4/156,http://psycnet.apa.org/journals/ebs/2/4/156.html,http://psycnet.apa.org/journals/ebs/2/4/156.pdf,English,components; self-perceived mate value; evolutionary psychology; physical attractiveness,3,not_found,not_found
21,21,"Among early modern humans, a woman would face stronger competition for a mate the further away she was from the equator. Men were less available because they 1) hunted over longer distances that increased male mortality proportionately and 2) were less able to offset the resulting man shortage through polygyny. The longer the winter, the costlier it became to provision a second wife and her children, since women could not gather food in winter. Women competed the most for mates in the 'continental Arctic,' where wandering herds were the main food source. Conversely, men competed the most for mates in the Tropics, particularly after year-round agriculture emerged. This means of subsistence allowed women to become primary food producers, thereby freeing men to take more wives. Because mate competition has varied in intensity among human populations, sexual selection has correspondingly varied in intensity for certain traits, often highly visible and colorful ones. Intense female-female competition may explain an unusual convergence of color traits in northern and eastern Europeans. Intense male-male competition may explain increased masculinization of body build in highly polygynous agricultural populations of sub-Saharan Africa. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Frost, Peter",Sexual selection and human geographic variation.,Dec   2008,2,4,169,10.1037/h0099346,http://psycnet.apa.org/journals/ebs/2/4/169,http://psycnet.apa.org/journals/ebs/2/4/169.html,http://psycnet.apa.org/journals/ebs/2/4/169.pdf,English,sexual selection; human geographic variation; mortality,0,not_found,not_found
